list,shuffle_r2,actual_r2
dict,0.6468,0.656
dict,0.7263,0.656
dict,0.6373,0.656
dict,0.6496,0.656
dict,0.6321,0.656
dict,0.7148,0.656
dict,0.7211,0.656
dict,0.7941,0.656
dict,0.6307,0.656
dict,0.7275,0.656
dict,0.6377,0.656
dict,0.7249,0.656
dict,0.6248,0.656
dict,0.7099,0.656
dict,0.6506,0.656
dict,0.7347,0.656
dict,0.7198,0.656
dict,0.7206,0.656
dict,0.7244,0.656
dict,0.7276,0.656
dict,0.6324,0.656
dict,0.7317,0.656
dict,0.731,0.656
dict,0.7851,0.656
dict,0.6443,0.656
dict,0.6386,0.656
dict,0.72,0.656
dict,0.6381,0.656
dict,0.7072,0.656
dict,0.7303,0.656
dict,0.7184,0.656
dict,0.6386,0.656
dict,0.7131,0.656
dict,0.6273,0.656
dict,0.6283,0.656
dict,0.728,0.656
dict,0.7181,0.656
dict,0.7141,0.656
dict,0.6363,0.656
dict,0.7166,0.656
dict,0.7172,0.656
dict,0.7051,0.656
dict,0.723,0.656
dict,0.6307,0.656
dict,0.6317,0.656
dict,0.7169,0.656
dict,0.6396,0.656
dict,0.7273,0.656
dict,0.725,0.656
dict,0.6303,0.656
dict,0.7229,0.656
dict,0.6307,0.656
dict,0.6293,0.656
dict,0.6531,0.656
dict,0.7922,0.656
dict,0.6458,0.656
dict,0.6332,0.656
dict,0.6383,0.656
dict,0.7212,0.656
dict,0.649,0.656
dict,0.7119,0.656
dict,0.7262,0.656
dict,0.6385,0.656
dict,0.6356,0.656
dict,0.6283,0.656
dict,0.6465,0.656
dict,0.7221,0.656
dict,0.6509,0.656
dict,0.7198,0.656
dict,0.7232,0.656
dict,0.7258,0.656
dict,0.633,0.656
dict,0.6463,0.656
dict,0.6283,0.656
dict,0.7158,0.656
dict,0.7925,0.656
dict,0.7189,0.656
dict,0.7199,0.656
dict,0.6406,0.656
dict,0.7242,0.656
dict,0.7214,0.656
dict,0.6383,0.656
dict,0.7096,0.656
dict,0.7214,0.656
dict,0.7112,0.656
dict,0.7454,0.656
dict,0.7227,0.656
dict,0.7144,0.656
dict,0.7066,0.656
dict,0.721,0.656
dict,0.7264,0.656
dict,0.7272,0.656
dict,0.7056,0.656
dict,0.737,0.656
dict,0.7253,0.656
dict,0.7236,0.656
dict,0.735,0.656
dict,0.7117,0.656
dict,0.7207,0.656
dict,0.649,0.656
llm,0.6263,0.6087
llm,0.6267,0.6087
llm,0.6267,0.6087
llm,0.6263,0.6087
llm,0.626,0.6087
llm,0.6264,0.6087
llm,0.6261,0.6087
llm,0.6261,0.6087
llm,0.6266,0.6087
llm,0.6265,0.6087
llm,0.6265,0.6087
llm,0.6264,0.6087
llm,0.6264,0.6087
llm,0.6264,0.6087
llm,0.6265,0.6087
llm,0.6261,0.6087
llm,0.6263,0.6087
llm,0.6261,0.6087
llm,0.6256,0.6087
llm,0.626,0.6087
llm,0.6253,0.6087
llm,0.6261,0.6087
llm,0.6261,0.6087
llm,0.6266,0.6087
llm,0.6267,0.6087
llm,0.6264,0.6087
llm,0.6266,0.6087
llm,0.6263,0.6087
llm,0.6261,0.6087
llm,0.6265,0.6087
llm,0.6265,0.6087
llm,0.6255,0.6087
llm,0.6267,0.6087
llm,0.6259,0.6087
llm,0.626,0.6087
llm,0.6262,0.6087
llm,0.6263,0.6087
llm,0.626,0.6087
llm,0.6266,0.6087
llm,0.6257,0.6087
llm,0.6266,0.6087
llm,0.6264,0.6087
llm,0.6266,0.6087
llm,0.6261,0.6087
llm,0.6258,0.6087
llm,0.626,0.6087
llm,0.626,0.6087
llm,0.626,0.6087
llm,0.6263,0.6087
llm,0.6261,0.6087
llm,0.6262,0.6087
llm,0.6265,0.6087
llm,0.6263,0.6087
llm,0.6262,0.6087
llm,0.6265,0.6087
llm,0.6264,0.6087
llm,0.6264,0.6087
llm,0.6259,0.6087
llm,0.6264,0.6087
llm,0.6265,0.6087
llm,0.6259,0.6087
llm,0.6264,0.6087
llm,0.6265,0.6087
llm,0.6264,0.6087
llm,0.626,0.6087
llm,0.6264,0.6087
llm,0.6257,0.6087
llm,0.6264,0.6087
llm,0.6262,0.6087
llm,0.6265,0.6087
llm,0.6263,0.6087
llm,0.6265,0.6087
llm,0.6269,0.6087
llm,0.6263,0.6087
llm,0.6262,0.6087
llm,0.6254,0.6087
llm,0.6259,0.6087
llm,0.6266,0.6087
llm,0.6262,0.6087
llm,0.6264,0.6087
llm,0.6266,0.6087
llm,0.6263,0.6087
llm,0.6263,0.6087
llm,0.6263,0.6087
llm,0.6262,0.6087
llm,0.6265,0.6087
llm,0.6262,0.6087
llm,0.6264,0.6087
llm,0.6264,0.6087
llm,0.6261,0.6087
llm,0.6254,0.6087
llm,0.6261,0.6087
llm,0.6261,0.6087
llm,0.6263,0.6087
llm,0.6266,0.6087
llm,0.6264,0.6087
llm,0.6258,0.6087
llm,0.6265,0.6087
llm,0.6265,0.6087
llm,0.6267,0.6087
