llm_term,llm_category,llm_frequency_rank,matched_original,status
prices,prices,1,,novel
employment,labor,2,employment,matched
federal reserve,financial,3,,novel
labor,labor,4,,novel
financial,financial,5,,novel
industrial,real_activity,6,,novel
markets,financial,7,,novel
energy,prices,8,,novel
production,real_activity,9,,novel
spending,real_activity,10,,novel
sales,real_activity,11,,novel
growth,real_activity,12,,novel
federal,fiscal,13,,novel
rates,financial,14,,novel
reserve,financial,15,reserves,matched
housing,real_activity,16,housing,matched
goods,real_activity,17,,novel
price,prices,18,,novel
inventories,real_activity,19,inventories,matched
capital,financial,20,,novel
interest,financial,21,,novel
mortgage,financial,22,mortgage,matched
demand,real_activity,23,,novel
construction,real_activity,24,construction,matched
trade,international,25,,novel
equipment,real_activity,26,equipment,matched
costs,prices,27,,novel
bank,financial,28,bank,matched
output,real_activity,29,output,matched
balance,financial,30,,novel
inventory,real_activity,31,inventory,matched
oil,prices,32,,novel
interest rates,financial,33,real interest rates,matched
credit,financial,34,credit,matched
economic activity,real_activity,35,economic activity,matched
services,real_activity,36,services,matched
banks,financial,37,banks,matched
food,prices,38,,novel
manufacturing,real_activity,39,,novel
orders,real_activity,40,,novel
starts,real_activity,41,,novel
capacity,real_activity,42,capacity,matched
foreign,international,43,,novel
investment,real_activity,44,investment,matched
firms,real_activity,45,firms,matched
residential,real_activity,46,,novel
purchases,real_activity,47,,novel
expansion,real_activity,48,,novel
nonresidential,real_activity,49,,novel
cost,prices,50,,novel
economy,real_activity,51,economy,matched
outlook,other,52,,novel
single family,real_activity,53,,novel
commercial,real_activity,54,,novel
retail,real_activity,55,,novel
exports,international,56,exports,matched
consumer spending,real_activity,57,consumer spending,matched
imports,international,58,imports,matched
unemployment,labor,59,unemployment,matched
workers,labor,60,workers,matched
income,prices,61,income,matched
financing,financial,62,financing,matched
businesses,real_activity,63,,novel
products,real_activity,64,,novel
industry,real_activity,65,,novel
loans,financial,66,loans,matched
expectations,other,67,,novel
pressures,prices,68,,novel
expenditures,real_activity,69,,novel
shipments,real_activity,70,shipments,matched
equity,financial,71,,novel
auto,real_activity,72,autos,matched
agricultural,real_activity,73,agriculture,matched
supply,prices,74,supply,matched
housing starts,real_activity,75,housing starts,matched
inflation,prices,76,inflation,matched
lending,financial,77,lending,matched
loan,financial,78,loan,matched
yields,financial,79,yields,matched
vehicles,real_activity,80,,novel
share,financial,81,,novel
merchandise,international,82,merchandise,matched
service,international,83,services,matched
international,international,84,,novel
dollar,international,85,,novel
wages,prices,86,wages,matched
tax,fiscal,87,,novel
oil prices,prices,88,oil prices,matched
debt,financial,89,,novel
export,international,90,export,matched
household,real_activity,91,households,matched
mortgages,financial,92,mortgages,matched
borrowing,financial,93,borrowing,matched
consumers,real_activity,94,consumers,matched
retail sales,real_activity,95,retail sales,matched
homes,real_activity,96,homes,matched
insurance,labor,97,,novel
wage,prices,98,wage,matched
utilization,real_activity,99,utilization,matched
defense,fiscal,100,,novel
labor market,labor,101,labor market,matched
compensation,prices,102,,novel
stocks,financial,103,stocks,matched
deposits,financial,104,deposits,matched
cash,financial,105,cash,matched
crude,prices,106,,novel
real estate,real_activity,107,,novel
financial developments,financial,108,financial developments,matched
import,international,109,import,matched
profits,real_activity,110,profits,matched
slowdown,real_activity,111,,novel
unemployment rate,labor,112,,novel
producers,real_activity,113,producers,matched
potential,real_activity,114,,novel
building,real_activity,115,building,matched
deposit,financial,116,deposits,matched
standards,financial,117,,novel
industries,real_activity,118,industries,matched
mexico,international,119,mexico,matched
seasonal,other,120,,novel
stock,financial,121,stocks,matched
job,labor,122,jobs,matched
nonresidential construction,real_activity,123,,novel
materials,prices,124,,novel
aircraft,real_activity,125,aircraft,matched
rebound,real_activity,126,,novel
vehicle,real_activity,127,,novel
rose percent,prices,128,,novel
easing,financial,129,leasing,matched
home sales,real_activity,130,home sales,matched
confidence,other,131,,novel
vacancy,labor,132,,novel
hiring,labor,133,hiring,matched
price increases,prices,134,,novel
money,financial,135,,novel
permits,real_activity,136,permits,matched
multifamily,real_activity,137,,novel
capital spending,real_activity,138,capital spending,matched
drilling,real_activity,139,,novel
gas,prices,140,,novel
crude oil,prices,141,crude oil,matched
hours,labor,142,hours,matched
outlays,fiscal,143,outlays,matched
new orders,real_activity,144,new orders,matched
energy prices,prices,145,energy prices,matched
payroll,labor,146,payrolls,matched
banking,financial,147,banking,matched
farm,real_activity,148,farm,matched
mortgage rates,financial,149,mortgage rates,matched
recovery,real_activity,150,recovery,matched
budget,fiscal,151,,novel
year year,prices,152,,novel
manufacturers,real_activity,153,manufacturers,matched
productivity,labor,154,productivity,matched
payments,international,155,,novel
consumer credit,financial,156,,novel
consumption,real_activity,157,consumption,matched
fiscal,fiscal,158,,novel
capital goods,real_activity,159,,novel
policy,other,160,,novel
annual rate,prices,161,,novel
uncertainty,other,162,uncertainty,matched
tight,labor,163,,novel
jobs,labor,164,jobs,matched
consumer loans,financial,165,,novel
vacancy rates,real_activity,166,vacancy rates,matched
market conditions,financial,167,,novel
raise,financial,168,,novel
labor costs,labor,169,,novel
commodity,prices,170,,novel
motor vehicles,real_activity,171,motor vehicles,matched
machinery,real_activity,172,machinery,matched
england,international,173,,novel
capacity utilization,real_activity,174,,novel
securities,financial,175,,novel
tightening,financial,176,,novel
goods services,real_activity,177,,novel
earnings,labor,178,,novel
barrel,prices,179,,novel
mining,real_activity,180,mining,matched
nonfinancial,financial,181,,novel
intermediate,prices,182,,novel
revenues,real_activity,183,,novel
trucks,real_activity,184,trucks,matched
transactions,real_activity,185,,novel
exchange,international,186,,novel
metals,prices,187,metals,matched
increase percent,prices,188,,novel
canada,international,189,canada,matched
motor vehicle,real_activity,190,motor vehicles,matched
japan,international,191,japan,matched
economic growth,real_activity,192,economic growth,matched
nonfarm,labor,193,,novel
borrowers,financial,194,borrowers,matched
price inflation,prices,195,,novel
monetary,financial,196,,novel
assets,financial,197,assets,matched
transportation,real_activity,198,transportation,matched
bond,financial,199,bonds,matched
nominal,prices,200,,novel
aggregate,other,201,,novel
revenue,real_activity,202,,novel
imported,international,203,import,matched
factory,real_activity,204,factory,matched
value dollar,international,205,,novel
petroleum,prices,206,petroleum,matched
payroll employment,labor,207,,novel
lenders,financial,208,lenders,matched
losses,financial,209,losses,matched
sentiment,other,210,,novel
state local,fiscal,211,,novel
households,real_activity,212,households,matched
residential construction,real_activity,213,,novel
price index,prices,214,,novel
estate loans,financial,215,,novel
real estate loans,financial,216,,novel
risk,financial,217,,novel
yield,financial,218,yield,matched
fomc,financial,219,,novel
consumer prices,prices,220,consumer prices,matched
spreads,financial,221,spreads,matched
payrolls,labor,222,payrolls,matched
domestic demand,real_activity,223,domestic demand,matched
durable goods,real_activity,224,durable goods,matched
gasoline,prices,225,,novel
deficit,fiscal,226,,novel
existing homes,real_activity,227,,novel
basis points,financial,228,,novel
benefits,labor,229,,novel
purchasing,real_activity,230,,novel
prices rose,prices,231,,novel
housing activity,real_activity,232,housing activity,matched
hourly,labor,233,,novel
finished,prices,234,,novel
durables,real_activity,235,durables,matched
employees,labor,236,,novel
receipts,real_activity,237,,novel
natural gas,prices,238,natural gas,matched
issuance,financial,239,,novel
discount,financial,240,,novel
provisions,financial,241,,novel
hour,labor,242,hours,matched
sales new,real_activity,243,,novel
appreciation,international,244,,novel
treasury,financial,245,,novel
flows,financial,246,,novel
automotive,real_activity,247,automotive,matched
commodities,prices,248,commodities,matched
car,real_activity,249,cars,matched
interest rate,financial,250,,novel
food energy,prices,251,,novel
saving,real_activity,252,saving,matched
delinquency,financial,253,,novel
auto sales,real_activity,254,auto sales,matched
industrial production,real_activity,255,industrial production,matched
profit,prices,256,profit,matched
labor force,labor,257,,novel
autos,real_activity,258,autos,matched
consumer price,prices,259,consumer price,matched
bill,fiscal,260,,novel
apparel,prices,261,apparel,matched
surplus,fiscal,262,,novel
consumer confidence,real_activity,263,consumer confidence,matched
federal funds,financial,264,,novel
margins,prices,265,,novel
